config,map,responder,road_damage,location_damage,rescue_duration,run,people_saved,total_people,rescue_rate,vehicles_remaining,vehicle_survival_rate
sweep_0,0,solution.algorithms.BidirectionalDijkstra,0,0,0,3,950,950,100.0,20,100.0
sweep_0,0,solution.algorithms.Hybrid,0,0,0,1,900,900,100.0,20,100.0
sweep_0,0,solution.algorithms.Hybrid,0,0,0,2,900,900,100.0,20,100.0
sweep_0,0,solution.algorithms.Hybrid,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.BFS,0,0,0,1,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.BFS,0,0,0,2,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.BFS,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.Dijkstra,0,0,0,1,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.Dijkstra,0,0,0,2,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.Dijkstra,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.BidirectionalDijkstra,0,0,0,1,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.BidirectionalDijkstra,0,0,0,2,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.BidirectionalDijkstra,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.Hybrid,0,0,0,1,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.Hybrid,0,0,0,2,1000,1000,100.0,20,100.0
sweep_0,2,solution.algorithms.Hybrid,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,4,solution.algorithms.BFS,0,0,0,1,1000,1000,100.0,20,100.0
sweep_0,4,solution.algorithms.BFS,0,0,0,2,1000,1000,100.0,20,100.0
sweep_0,4,solution.algorithms.BFS,0,0,0,3,1000,1000,100.0,20,100.0
sweep_0,4,solution.algorithms.Dijkstra,0,0,0,1,1000,1000,100.0,20,100.0
